Fecha,i,j,Ng,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,H,S,L
2020-04-03,394,739,5,3398,3815,4115,4304,4318,4234,4181,4182,4097,4970,4004,2835,1022.4950000000001,602.291,4059.5
2020-04-03,397,690,5,2947,3239,3769,4067,4094,4026,3970,3980,3873,4597,3630,2362,1066.8277777777778,1133.315,3653.0
2020-04-03,398,759,5,3234,3706,4051,4244,4166,4077,4011,4117,3921,4685,4090,3026,1068.7733333333333,676.73,3975.0
2020-04-03,400,716,5,3123,3440,3815,4014,4015,3988,3952,3917,3839,4765,3777,2700,1088.8502777777778,770.056,3727.0000000000005
2020-04-03,407,680,5,2810,3068,3413,3470,3524,3443,3403,3337,3315,4135,3115,2097,1430.3483333333334,614.867,3269.0
2020-04-03,410,698,5,2828,3111,3627,3766,3942,3894,3840,3797,3728,4538,3156,2156,1312.9772222222223,952.4499999999999,3438.5
2020-04-03,414,735,5,3153,3480,3955,4172,4218,4155,4086,4100,3986,4852,3794,2553,1144.0269444444446,904.339,3826.0
2020-04-03,414,746,5,3282,3366,3723,3891,3933,3849,3803,3760,3720,4777,3896,2857,1133.3333333333333,723.4390000000001,3628.4999999999995
2020-04-03,415,716,5,2883,3136,3704,3844,4031,4003,3944,3945,3815,4650,3320,2240,1337.0997222222222,1014.3269999999999,3490.0
2020-04-03,418,701,5,2839,3166,3717,3818,4027,3976,3929,3908,3794,4609,3163,2136,1408.4866666666667,933.562,3492.0
2020-04-03,419,683,5,2779,3044,3618,3759,3975,3918,3858,3886,3747,4498,2903,1995,1337.9952777777778,1051.007,3401.5
2020-04-03,431,736,5,3005,3274,3686,3859,3895,3862,3785,3783,3690,4591,3674,2496,1173.7891666666667,820.1320000000001,3566.5
2020-04-03,434,700,5,2918,3204,3664,3816,3859,3780,3745,3755,3653,4516,3579,2422,1252.7233333333334,871.795,3510.0
2020-04-03,434,717,5,2981,3245,3642,3828,3869,3808,3740,3750,3647,4541,3659,2510,1134.9341666666667,824.2610000000001,3536.5
2020-04-03,434,766,5,3332,3451,3721,3830,3913,3844,3796,3708,3699,4673,3897,2939,1187.335,520.533,3640.5
2020-04-03,438,749,5,3274,3688,3968,4053,4003,3938,3876,3908,3799,4664,3883,2661,1278.538888888889,471.51500000000004,3870.5
2020-04-03,439,685,5,2935,3039,3524,3684,3761,3680,3634,3579,3542,4451,3635,2501,1253.23,959.393,3361.5
2020-04-03,441,733,5,3290,3653,3907,3953,3900,3821,3765,3790,3701,4618,3669,2448,1411.111111111111,394.42499999999995,3803.0
2020-04-03,443,714,5,3232,3605,3918,3994,3979,3901,3832,3868,3763,4612,3844,2730,1341.045277777778,511.909,3799.4999999999995
2020-04-03,451,767,5,3302,3526,3806,3864,3867,3810,3740,3731,3668,4658,3755,2573,1380.6705555555557,457.37500000000006,3695.0000000000005
2020-04-03,452,699,5,3318,3440,3684,3718,3760,3688,3642,3579,3554,4575,3858,2986,1462.8297222222222,388.377,3579.0
2020-04-03,458,746,5,3345,3572,3780,3859,3820,3766,3713,3689,3650,4628,3861,3020,1207.8977777777777,386.22,3715.5
2020-04-03,461,716,5,3250,3447,3704,3823,3731,3680,3638,3717,3553,4444,3824,3004,1139.1844444444446,517.1940000000001,3635.0
2020-04-03,372,404,6,2378,2528,2848,3051,3025,2941,2888,2921,2825,3024,1803,1305,1019.7577777777778,937.444,2789.5
2020-04-03,376,408,6,2382,2570,2896,3055,3011,2953,2901,2848,2809,3064,1597,1199,1120.275,862.2220000000001,2812.5
2020-04-03,379,399,6,2366,2484,2804,3019,2986,2922,2874,2867,2785,3030,1777,1320,996.8847222222223,972.1970000000001,2751.5
2020-04-03,387,401,6,2366,2474,2793,2998,2943,2888,2841,2837,2754,3045,1574,1232,1014.6311111111111,957.602,2736.0
2020-04-03,389,409,6,2384,2522,2859,2985,2945,2911,2853,2848,2773,3049,1540,1181,1213.1030555555556,840.7479999999999,2753.5
